town,n_transactions,mrt_distance_importance,test_r2
SEMBAWANG,4988,0.21134037798997357,0.905703451931535
BISHAN,4059,0.14269916649140613,0.6758948064820129
WOODLANDS,19329,0.10822649469330681,0.7911233901617994
BEDOK,6668,0.10736240792142826,0.7147944734572154
CLEMENTI,4431,0.09414727525299263,0.8480372532798118
SENGKANG,14045,0.08670993939045031,0.8044841096703075
PASIR RIS,7405,0.06947512106146803,0.847359695688699
JURONG WEST,9085,0.06868594564564495,0.7089701668476718
HOUGANG,10025,0.06060568343904948,0.6296816024753016
MARINE PARADE,1008,0.051316344623114754,0.4940504481734811
YISHUN,12677,0.04843149480451272,0.7370256342305825
GEYLANG,4270,0.04694802651610791,0.8812349035698325
CHOA CHU KANG,11819,0.046035946038142914,0.7620552565916193
ANG MO KIO,10960,0.04114249360960877,0.8876817761481782
QUEENSTOWN,20935,0.038699927487950404,0.8982444999282505
BUKIT MERAH,6428,0.03601924845600777,0.9188298603032298
PUNGGOL,14851,0.029301010753171708,0.8527615663330181
TAMPINES,11404,0.02884565114205189,0.684965928036547
BUKIT PANJANG,107,0.022869745575331342,0.814742479573058
TOA PAYOH,2618,0.018441399332617063,0.9409849733508249
KALLANG/WHAMPOA,5333,0.017823185647983977,0.9094700760847662
BUKIT TIMAH,633,0.014753071926295375,0.7353833772712766
JURONG EAST,2947,0.014636192892682703,0.7422794997228311
SERANGOON,4024,0.01216318983046656,0.7733065084715284
CENTRAL AREA,1293,0.003888896631533842,0.9292190168825984
