feature,importance,target,model
storey_range_None,0.29605518698919714,price_psm,random_forest
flat_type_None,0.2441922974100363,price_psm,random_forest
property_type_HDB,0.1998815034993892,price_psm,random_forest
psm_tier_High PSM,0.1627191963552998,price_psm,random_forest
psm_tier_Low PSM,0.017669576606731404,price_psm,random_forest
property_type_EC,0.015915369602545363,price_psm,random_forest
floor_area_sqm,0.014221815512203915,price_psm,random_forest
psm_tier_Medium PSM,0.012444960788143316,price_psm,random_forest
property_type_Condominium,0.009918341957605442,price_psm,random_forest
stratified_median_price,0.008888305615107242,price_psm,random_forest
remaining_lease_months,0.004817306982655708,price_psm,random_forest
hawker_within_2km,0.003601873686854073,price_psm,random_forest
market_tier_Luxury,0.002341659612772217,price_psm,random_forest
market_tier_Mass Market,0.002220617840355966,price_psm,random_forest
market_tier_Mid-Tier,0.0006114840940104562,price_psm,random_forest
town_QUEENSTOWN,0.0005329951465742531,price_psm,random_forest
flat_model_Model A,0.00028488589812538485,price_psm,random_forest
flat_model_STANDARD,0.0002817032433063729,price_psm,random_forest
volume_12m_avg,0.0002773882310475325,price_psm,random_forest
flat_model_New Generation,0.0002712425818712782,price_psm,random_forest
flat_model_Improved,0.0002654397011201815,price_psm,random_forest
dist_to_nearest_mrt,0.00018984393145970882,price_psm,random_forest
storey_range_01 TO 03,0.00014876289560293492,price_psm,random_forest
flat_model_Simplified,0.00014305935224994215,price_psm,random_forest
preschool_within_2km,0.00011411270814527086,price_psm,random_forest
park_within_2km,9.830170115781736e-05,price_psm,random_forest
mrt_within_2km,8.508744787806492e-05,price_psm,random_forest
dist_to_nearest_hawker,7.963441299478443e-05,price_psm,random_forest
flat_model_Standard,7.584982479390548e-05,price_psm,random_forest
volume_3m_avg,7.099277660333306e-05,price_psm,random_forest
supermarket_within_1km,6.817472724381911e-05,price_psm,random_forest
transaction_count,6.488904750219004e-05,price_psm,random_forest
storey_range_04 TO 06,6.387508559608284e-05,price_psm,random_forest
hawker_within_1km,6.135477699997197e-05,price_psm,random_forest
town_PASIR RIS,6.0255629853372134e-05,price_psm,random_forest
preschool_within_500m,5.7079011113494775e-05,price_psm,random_forest
supermarket_within_2km,5.573931585151653e-05,price_psm,random_forest
dist_to_nearest_park,5.432301353191887e-05,price_psm,random_forest
childcare_within_1km,5.3473292272770853e-05,price_psm,random_forest
supermarket_within_500m,5.1176454372483194e-05,price_psm,random_forest
flat_model_Other,4.941713223171737e-05,price_psm,random_forest
dist_to_nearest_supermarket,4.307744554105418e-05,price_psm,random_forest
dist_to_nearest_childcare,4.07165185151663e-05,price_psm,random_forest
dist_to_nearest_preschool,4.051937887706787e-05,price_psm,random_forest
childcare_within_2km,3.9922854669228756e-05,price_psm,random_forest
flat_model_Model A2,3.933363347036645e-05,price_psm,random_forest
flat_model_SIMPLIFIED,3.896003049923607e-05,price_psm,random_forest
park_within_1km,3.8478973952210385e-05,price_psm,random_forest
flat_model_DBSS,3.465075018611245e-05,price_psm,random_forest
flat_model_Premium Apartment,3.4319295864728185e-05,price_psm,random_forest
flat_model_MODEL A,3.195089498190283e-05,price_psm,random_forest
childcare_within_500m,2.9566121256745423e-05,price_psm,random_forest
flat_type_EXECUTIVE,2.9427883540413163e-05,price_psm,random_forest
mrt_within_1km,2.8206834833497742e-05,price_psm,random_forest
town_WOODLANDS,2.505559342016883e-05,price_psm,random_forest
flat_type_3 ROOM,2.4770703714587872e-05,price_psm,random_forest
hawker_within_500m,2.421038911051622e-05,price_psm,random_forest
momentum_signal_missing,2.343937099843829e-05,price_psm,random_forest
park_within_500m,2.2072058089232228e-05,price_psm,random_forest
preschool_within_1km,2.1932197186679673e-05,price_psm,random_forest
town_YISHUN,1.984890257507672e-05,price_psm,random_forest
flat_model_IMPROVED,1.8807515662783935e-05,price_psm,random_forest
storey_range_07 TO 09,1.7370468566790313e-05,price_psm,random_forest
flat_type_4 ROOM,1.651199132539338e-05,price_psm,random_forest
mrt_within_500m,1.553183376479251e-05,price_psm,random_forest
town_BISHAN,1.4973960565913071e-05,price_psm,random_forest
storey_range_19 TO 21,1.4681428579069244e-05,price_psm,random_forest
town_ANG MO KIO,1.1938747290762762e-05,price_psm,random_forest
storey_range_10 TO 12,1.1804866939331766e-05,price_psm,random_forest
flat_model_NEW GENERATION,1.160716562274011e-05,price_psm,random_forest
storey_range_13 TO 15,1.1135343315334792e-05,price_psm,random_forest
town_TAMPINES,9.78852299615341e-06,price_psm,random_forest
town_JURONG WEST,9.45473434376479e-06,price_psm,random_forest
town_PUNGGOL,9.208550160587645e-06,price_psm,random_forest
town_HOUGANG,8.819175145442498e-06,price_psm,random_forest
town_BUKIT MERAH,8.008072901155866e-06,price_psm,random_forest
flat_model_Maisonette,7.751871599992288e-06,price_psm,random_forest
storey_range_01 TO 05,6.682879036417748e-06,price_psm,random_forest
storey_range_22 TO 24,6.590904257578455e-06,price_psm,random_forest
flat_model_MAISONETTE,6.317048737951595e-06,price_psm,random_forest
flat_type_5 ROOM,6.155466453167575e-06,price_psm,random_forest
storey_range_16 TO 18,6.129367104264172e-06,price_psm,random_forest
town_Other,5.644347577974556e-06,price_psm,random_forest
town_BEDOK,5.429630843778729e-06,price_psm,random_forest
flat_type_2 ROOM,5.236032494552327e-06,price_psm,random_forest
town_KALLANG/WHAMPOA,4.512119826171556e-06,price_psm,random_forest
storey_range_06 TO 10,4.486470658222953e-06,price_psm,random_forest
flat_type_1 ROOM,4.282562401175533e-06,price_psm,random_forest
storey_range_25 TO 27,4.135680167090827e-06,price_psm,random_forest
momentum_signal_strong_deceleration,3.6444314208032988e-06,price_psm,random_forest
storey_range_28 TO 30,3.5308502168155985e-06,price_psm,random_forest
momentum_signal_stable,3.492648795884812e-06,price_psm,random_forest
momentum_signal_moderate_deceleration,3.4751716305842897e-06,price_psm,random_forest
flat_model_APARTMENT,3.386582585868995e-06,price_psm,random_forest
flat_model_Adjoined flat,2.8697232856782492e-06,price_psm,random_forest
momentum_signal_strong_acceleration,2.714506056466102e-06,price_psm,random_forest
storey_range_37 TO 39,2.656372460298724e-06,price_psm,random_forest
momentum_signal_moderate_acceleration,2.234482842555773e-06,price_psm,random_forest
town_JURONG EAST,1.9260763835551975e-06,price_psm,random_forest
town_CHOA CHU KANG,1.860032915793993e-06,price_psm,random_forest
storey_range_46 TO 48,1.7786323148069045e-06,price_psm,random_forest
town_GEYLANG,1.5370963042334658e-06,price_psm,random_forest
storey_range_40 TO 42,1.5319271462580743e-06,price_psm,random_forest
storey_range_31 TO 33,1.4466803659878398e-06,price_psm,random_forest
storey_range_43 TO 45,1.2787549097877696e-06,price_psm,random_forest
town_TOA PAYOH,1.1924405503109379e-06,price_psm,random_forest
storey_range_34 TO 36,1.0906590863360718e-06,price_psm,random_forest
town_SENGKANG,9.938143261971605e-07,price_psm,random_forest
flat_model_Apartment,9.529311524220031e-07,price_psm,random_forest
town_CLEMENTI,7.770542704647008e-07,price_psm,random_forest
