feature,importance,target,model
property_type_HDB,0.41465375,price_psm,xgboost
storey_range_None,0.22982095,price_psm,xgboost
flat_type_None,0.21833873,price_psm,xgboost
flat_model_Other,0.10956868,price_psm,xgboost
psm_tier_High PSM,0.011120749,price_psm,xgboost
property_type_Condominium,0.0035498166,price_psm,xgboost
psm_tier_Low PSM,0.0034396327,price_psm,xgboost
psm_tier_Medium PSM,0.0034059396,price_psm,xgboost
property_type_EC,0.000977733,price_psm,xgboost
market_tier_Luxury,0.0007464134,price_psm,xgboost
stratified_median_price,0.00039495167,price_psm,xgboost
hawker_within_2km,0.00030719364,price_psm,xgboost
market_tier_Mass Market,0.00019865429,price_psm,xgboost
remaining_lease_months,0.00019797777,price_psm,xgboost
market_tier_Mid-Tier,0.00018602442,price_psm,xgboost
town_PASIR RIS,0.00018534141,price_psm,xgboost
hawker_within_1km,0.00018030251,price_psm,xgboost
flat_model_Improved,0.00015748819,price_psm,xgboost
town_QUEENSTOWN,0.00014723596,price_psm,xgboost
flat_model_New Generation,0.00013890192,price_psm,xgboost
flat_model_DBSS,0.0001275046,price_psm,xgboost
floor_area_sqm,0.00011738192,price_psm,xgboost
flat_model_NEW GENERATION,0.00010666945,price_psm,xgboost
town_Other,8.341238e-05,price_psm,xgboost
flat_model_IMPROVED,7.60085e-05,price_psm,xgboost
flat_model_STANDARD,7.359984e-05,price_psm,xgboost
flat_type_3 ROOM,7.231388e-05,price_psm,xgboost
storey_range_01 TO 03,5.6449368e-05,price_psm,xgboost
flat_model_Standard,5.5472734e-05,price_psm,xgboost
volume_12m_avg,5.53666e-05,price_psm,xgboost
dist_to_nearest_supermarket,5.2999963e-05,price_psm,xgboost
storey_range_04 TO 06,4.782933e-05,price_psm,xgboost
storey_range_19 TO 21,4.4295135e-05,price_psm,xgboost
preschool_within_500m,4.345904e-05,price_psm,xgboost
storey_range_28 TO 30,4.1957417e-05,price_psm,xgboost
flat_model_MODEL A,4.026657e-05,price_psm,xgboost
flat_model_Simplified,3.948198e-05,price_psm,xgboost
supermarket_within_500m,3.765706e-05,price_psm,xgboost
flat_type_2 ROOM,3.7423502e-05,price_psm,xgboost
supermarket_within_2km,3.646305e-05,price_psm,xgboost
preschool_within_2km,3.4872777e-05,price_psm,xgboost
storey_range_34 TO 36,3.2471162e-05,price_psm,xgboost
flat_model_Model A,3.245473e-05,price_psm,xgboost
storey_range_07 TO 09,3.088584e-05,price_psm,xgboost
town_ANG MO KIO,2.926361e-05,price_psm,xgboost
flat_type_EXECUTIVE,2.8799777e-05,price_psm,xgboost
storey_range_25 TO 27,2.8743409e-05,price_psm,xgboost
