feature,importance,target,model
stratified_median_price,0.30968264616560254,rental_yield_pct,random_forest
volume_3m_avg,0.1730650578482659,rental_yield_pct,random_forest
volume_12m_avg,0.13520401805610932,rental_yield_pct,random_forest
town_QUEENSTOWN,0.06862926377031016,rental_yield_pct,random_forest
transaction_count,0.05046517457229494,rental_yield_pct,random_forest
momentum_signal_strong_deceleration,0.04541266002675535,rental_yield_pct,random_forest
town_ANG MO KIO,0.03766704286789318,rental_yield_pct,random_forest
hawker_within_2km,0.030941327474326465,rental_yield_pct,random_forest
town_TAMPINES,0.024759803791266837,rental_yield_pct,random_forest
remaining_lease_months,0.017042039761705437,rental_yield_pct,random_forest
town_BUKIT MERAH,0.015237443902795158,rental_yield_pct,random_forest
town_JURONG WEST,0.0119748491088718,rental_yield_pct,random_forest
town_PASIR RIS,0.01144516489668288,rental_yield_pct,random_forest
town_BEDOK,0.009787024152327874,rental_yield_pct,random_forest
town_HOUGANG,0.009299073110596022,rental_yield_pct,random_forest
town_WOODLANDS,0.007279273707298179,rental_yield_pct,random_forest
town_CLEMENTI,0.004470479412095409,rental_yield_pct,random_forest
momentum_signal_moderate_acceleration,0.003435337614834742,rental_yield_pct,random_forest
town_BISHAN,0.003349274147183208,rental_yield_pct,random_forest
town_TOA PAYOH,0.003249609179164515,rental_yield_pct,random_forest
town_KALLANG/WHAMPOA,0.002408041618951253,rental_yield_pct,random_forest
mrt_within_2km,0.002296100446075478,rental_yield_pct,random_forest
park_within_2km,0.002024939332595916,rental_yield_pct,random_forest
momentum_signal_moderate_deceleration,0.0019808753439510382,rental_yield_pct,random_forest
supermarket_within_2km,0.0016830869542871951,rental_yield_pct,random_forest
town_CHOA CHU KANG,0.0016176903986025923,rental_yield_pct,random_forest
town_Other,0.0016004442786008502,rental_yield_pct,random_forest
town_SENGKANG,0.0015312916826310027,rental_yield_pct,random_forest
dist_to_nearest_hawker,0.0014853486696902584,rental_yield_pct,random_forest
childcare_within_2km,0.0013199616345941517,rental_yield_pct,random_forest
momentum_signal_stable,0.0011715936887775993,rental_yield_pct,random_forest
town_PUNGGOL,0.0009723599636861492,rental_yield_pct,random_forest
town_SEMBAWANG,0.0008665219777709253,rental_yield_pct,random_forest
momentum_signal_strong_acceleration,0.0008343864098755433,rental_yield_pct,random_forest
town_SERANGOON,0.0007315703962819698,rental_yield_pct,random_forest
town_GEYLANG,0.0007066443505215628,rental_yield_pct,random_forest
childcare_within_1km,0.0006926687286721328,rental_yield_pct,random_forest
preschool_within_2km,0.0006571490501340092,rental_yield_pct,random_forest
hawker_within_1km,0.0003097353259878968,rental_yield_pct,random_forest
park_within_1km,0.0002927984546652588,rental_yield_pct,random_forest
psm_tier_High PSM,0.00027013971893511285,rental_yield_pct,random_forest
psm_tier_Medium PSM,0.0002572430987381022,rental_yield_pct,random_forest
park_within_500m,0.00022930587669906996,rental_yield_pct,random_forest
preschool_within_1km,0.00021178338823049997,rental_yield_pct,random_forest
dist_to_nearest_supermarket,0.00020701177433036678,rental_yield_pct,random_forest
mrt_within_1km,0.00017478190850305032,rental_yield_pct,random_forest
dist_to_nearest_mrt,0.00016759291168585755,rental_yield_pct,random_forest
dist_to_nearest_park,0.0001295930893375669,rental_yield_pct,random_forest
hawker_within_500m,0.00012053023247456094,rental_yield_pct,random_forest
dist_to_nearest_preschool,0.00010759909386482916,rental_yield_pct,random_forest
supermarket_within_1km,8.531215975688835e-05,rental_yield_pct,random_forest
dist_to_nearest_childcare,6.457866248221708e-05,rental_yield_pct,random_forest
floor_area_sqm,6.308485555647603e-05,rental_yield_pct,random_forest
childcare_within_500m,6.0678165938709656e-05,rental_yield_pct,random_forest
preschool_within_500m,5.7151221504665605e-05,rental_yield_pct,random_forest
flat_model_New Generation,5.0215655058764955e-05,rental_yield_pct,random_forest
supermarket_within_500m,4.0432461392888904e-05,rental_yield_pct,random_forest
storey_range_10 TO 12,1.8526733871303904e-05,rental_yield_pct,random_forest
flat_model_Standard,1.7527229985060676e-05,rental_yield_pct,random_forest
storey_range_13 TO 15,1.2815455867783553e-05,rental_yield_pct,random_forest
