feature,importance,target,model
volume_12m_avg,0.27151668090064973,yoy_change_pct,random_forest
transaction_count,0.252297126875059,yoy_change_pct,random_forest
stratified_median_price,0.1591544275190804,yoy_change_pct,random_forest
volume_3m_avg,0.13121463329437089,yoy_change_pct,random_forest
momentum_signal_stable,0.042585358082629615,yoy_change_pct,random_forest
momentum_signal_moderate_acceleration,0.019389449491287375,yoy_change_pct,random_forest
momentum_signal_strong_acceleration,0.016406090465621675,yoy_change_pct,random_forest
town_QUEENSTOWN,0.01245779485522622,yoy_change_pct,random_forest
town_GEYLANG,0.007396363711843594,yoy_change_pct,random_forest
town_KALLANG/WHAMPOA,0.007340860803322304,yoy_change_pct,random_forest
momentum_signal_strong_deceleration,0.006333165558806323,yoy_change_pct,random_forest
town_SERANGOON,0.006257030713175355,yoy_change_pct,random_forest
town_CHOA CHU KANG,0.005822443159397434,yoy_change_pct,random_forest
town_WOODLANDS,0.005064197480654778,yoy_change_pct,random_forest
town_BISHAN,0.004890055985941063,yoy_change_pct,random_forest
town_SENGKANG,0.004464912516415323,yoy_change_pct,random_forest
momentum_signal_moderate_deceleration,0.004331093557863065,yoy_change_pct,random_forest
town_PUNGGOL,0.0035582871536455375,yoy_change_pct,random_forest
supermarket_within_2km,0.0034834403571324126,yoy_change_pct,random_forest
mrt_within_2km,0.0033395909877647475,yoy_change_pct,random_forest
town_JURONG WEST,0.0026993429209041333,yoy_change_pct,random_forest
town_TAMPINES,0.002563601458098439,yoy_change_pct,random_forest
town_HOUGANG,0.0024915857214564082,yoy_change_pct,random_forest
town_CLEMENTI,0.0024040128735539385,yoy_change_pct,random_forest
remaining_lease_months,0.0020694809925155973,yoy_change_pct,random_forest
town_SEMBAWANG,0.002055609409827404,yoy_change_pct,random_forest
hawker_within_2km,0.0020010190207437,yoy_change_pct,random_forest
town_BEDOK,0.0017420113445118836,yoy_change_pct,random_forest
town_BUKIT MERAH,0.001728874884266278,yoy_change_pct,random_forest
town_Other,0.0014480422311064114,yoy_change_pct,random_forest
dist_to_nearest_hawker,0.0013382561485974804,yoy_change_pct,random_forest
childcare_within_2km,0.0012026943363082653,yoy_change_pct,random_forest
town_PASIR RIS,0.0010144284110534098,yoy_change_pct,random_forest
town_JURONG EAST,0.0009678005838893127,yoy_change_pct,random_forest
preschool_within_1km,0.0009189209321827408,yoy_change_pct,random_forest
park_within_2km,0.0008728325931957576,yoy_change_pct,random_forest
mrt_within_1km,0.0008466895151879512,yoy_change_pct,random_forest
town_YISHUN,0.0007758098454846601,yoy_change_pct,random_forest
preschool_within_2km,0.000527623354380022,yoy_change_pct,random_forest
floor_area_sqm,0.0005208417327661732,yoy_change_pct,random_forest
supermarket_within_1km,0.00046523906720676006,yoy_change_pct,random_forest
dist_to_nearest_childcare,0.00031846338171520654,yoy_change_pct,random_forest
storey_range_34 TO 36,0.0003131045278307107,yoy_change_pct,random_forest
town_ANG MO KIO,0.00022953716856650183,yoy_change_pct,random_forest
flat_model_Adjoined flat,0.00021256743184357407,yoy_change_pct,random_forest
dist_to_nearest_mrt,0.00013373109494344625,yoy_change_pct,random_forest
dist_to_nearest_supermarket,0.00012739454948223743,yoy_change_pct,random_forest
park_within_1km,0.00010672957108685974,yoy_change_pct,random_forest
storey_range_01 TO 03,0.00010287188502663772,yoy_change_pct,random_forest
hawker_within_1km,9.766975878610983e-05,yoy_change_pct,random_forest
flat_type_MULTI-GENERATION,6.442706139195392e-05,yoy_change_pct,random_forest
flat_model_Multi Generation,5.51881854638206e-05,yoy_change_pct,random_forest
psf_tier_Medium PSF,5.138562259941386e-05,yoy_change_pct,random_forest
flat_model_Apartment,4.260168888628067e-05,yoy_change_pct,random_forest
psf_tier_High PSF,3.332480925378168e-05,yoy_change_pct,random_forest
preschool_within_500m,2.6340026204981678e-05,yoy_change_pct,random_forest
park_within_500m,2.0595805141826814e-05,yoy_change_pct,random_forest
storey_range_07 TO 09,1.789113042562167e-05,yoy_change_pct,random_forest
