town,short_lease_n,short_lease_median_psm,fresh_lease_n,fresh_lease_median_psm,discount_pct
CLEMENTI,3377,5223.880597014925,1509,8795.698924731183,40.60869247892567
TOA PAYOH,4210,4939.393939393939,3012,8181.818181818182,39.62962962962963
QUEENSTOWN,2705,5526.315789473684,3297,9047.619047619048,38.9196675900277
ANG MO KIO,7207,4876.712328767123,1850,7455.357142857143,34.58781068000985
BUKIT MERAH,3990,5564.564450474898,4387,8500.0,34.5345358767659
KALLANG/WHAMPOA,3797,5434.782608695652,2921,8134.453781512605,33.188106360043115
CENTRAL AREA,1053,6916.666666666667,694,10168.224299065421,31.977634803921575
GEYLANG,3777,5217.391304347826,1747,7578.125,31.15194979829673
BEDOK,8349,4857.142857142857,3230,6069.798778296802,19.978519312533436
JURONG EAST,2771,4537.313432835821,1734,5277.777777777777,14.029850746268648
BUKIT BATOK,3398,5054.278980704081,5691,5436.8932038834955,7.037368747764234
WOODLANDS,1991,4261.538461538462,13569,4543.689320388349,6.209730440499657
JURONG WEST,3967,4495.94701986755,10639,4516.129032258064,0.4468874172185354
CHOA CHU KANG,685,4615.384615384615,8948,4569.89247311828,-0.9954751131221666
HOUGANG,3830,5177.276390008057,7239,5026.254545454545,-3.0046596961566028
BUKIT TIMAH,301,6875.0,244,6641.589939366719,-3.5143702451394816
BUKIT PANJANG,831,5192.307692307692,6984,4780.654861343133,-8.610804228793555
TAMPINES,5610,5413.2231404958675,9525,4958.677685950413,-9.166666666666657
YISHUN,5483,5078.740157480315,9109,4522.058823529412,-12.3103514499712
BISHAN,1267,6985.074626865671,2641,6105.263157894737,-14.410705095213583
SERANGOON,1914,5929.380074470983,2062,5084.874314049586,-16.608193403876566
PASIR RIS,366,5621.450415028397,6064,4676.392572944297,-20.209121183534076
