property_type,period,mass_market_max,mid_tier_max,luxury_min,max_price,transaction_count
Condominium,2020-2024,1263000.0,2000000.0,2000000.0,890000000.0,85265
Condominium,2025-2029,1522000.0,2360000.0,2360000.0,52250000.0,24311
EC,2020-2024,1185000.0,1452000.0,1452000.0,3288000.0,13358
EC,2025-2029,1468000.0,1723899.9999999995,1723899.9999999995,3700000.0,3468
HDB,1990-1994,57000.0,130000.0,130000.0,550000.0,73876
HDB,1995-1999,173000.0,310000.0,310000.0,900000.0,172333
HDB,2000-2004,170000.0,268000.0,268000.0,740000.0,142006
HDB,2005-2009,215000.0,310000.0,310000.0,765000.0,115658
HDB,2010-2014,357000.0,461000.0,461000.0,1088888.0,90180
HDB,2015-2019,345000.0,465000.0,465000.0,1205000.0,77679
HDB,2020-2024,420000.0,600000.0,600000.0,1588000.0,95455
HDB,2025-2029,500000.0,693000.0,693000.0,1658888.0,18208
