town,n,mean_price,mean_mrt_dist,mrt_coef_100m,r2
CENTRAL AREA,1198,902.6183635493121,318.3271591689635,59.18790121185587,0.7990526791580331
SERANGOON,3706,565.5089339276635,450.45529022716596,12.90936324048387,0.47562276687680594
BISHAN,3902,643.8374589986747,668.6847878291965,5.881255450530436,0.5813343391385197
PASIR RIS,7245,509.79939930350827,549.0440461571941,1.655983664114111,0.7425091212549885
JURONG EAST,2772,486.0618115633257,451.03367311908414,0.7331435864141892,0.6502062011631142
JURONG WEST,8314,443.33112256193874,586.2002015887176,0.5384532287060271,0.520234592197601
QUEENSTOWN,21576,633.7829974704774,520.8725757557576,-0.21431832481864635,0.8453143619674341
WOODLANDS,19604,483.1296384930783,629.6078654609558,-1.222408552636736,0.7213873788882061
HOUGANG,9886,516.6677334185026,754.1206185341576,-1.7532610925886989,0.6505708816358519
TAMPINES,11146,515.7502533614362,544.0205964921817,-1.9511532950228487,0.5661083784025001
YISHUN,11694,483.5105375412287,1067.1469121724804,-2.2470100358783514,0.6387342093694606
CHOA CHU KANG,12228,467.3304515848845,332.2335396854732,-3.3779518797654227,0.6725537544462536
BUKIT TIMAH,618,692.4117128362241,441.8509797575913,-4.144240205762085,0.7446719426803123
ANG MO KIO,10404,570.8633205812139,468.1472857825958,-5.504369167611148,0.8658299277121557
SEMBAWANG,4620,501.93713820508964,653.764576054789,-6.564243775325757,0.8217562464755284
KALLANG/WHAMPOA,5634,676.9209012053142,366.61982952894186,-7.332384506113329,0.8945536313143121
CLEMENTI,4080,579.6893266198531,714.4610344920454,-8.421174912776879,0.8373306457468477
TOA PAYOH,2778,595.3303986565684,868.989530119576,-8.752597470515603,0.883538880179664
BEDOK,6468,538.4948024318319,535.0616653810954,-9.105424439800863,0.6501788634310663
PUNGGOL,19076,570.299639624488,292.24917256393326,-10.20296027524927,0.7723177339775845
BUKIT MERAH,6816,725.4924892061101,581.0522687938334,-12.566777656610892,0.8105508482481423
SENGKANG,15170,558.0218873992566,282.1238274603916,-16.879936773489774,0.6754409610382226
GEYLANG,4108,583.5583433088547,429.0962820114835,-20.54219059208295,0.826878235648089
MARINE PARADE,1030,628.8385432567377,305.75460757074416,-38.54351161889708,0.4787470882491971
