feature,importance,target,model
year,0.44208056,rental_yield_pct,xgboost
hawker_within_1km,0.07527537,rental_yield_pct,xgboost
hawker_within_500m,0.07172292,rental_yield_pct,xgboost
mrt_within_2km,0.06599978,rental_yield_pct,xgboost
park_within_1km,0.063927375,rental_yield_pct,xgboost
remaining_lease_months,0.04541397,rental_yield_pct,xgboost
mrt_within_1km,0.043340165,rental_yield_pct,xgboost
supermarket_within_1km,0.037782066,rental_yield_pct,xgboost
mrt_within_500m,0.03673375,rental_yield_pct,xgboost
dist_to_nearest_mrt,0.03547962,rental_yield_pct,xgboost
park_within_500m,0.03195681,rental_yield_pct,xgboost
supermarket_within_500m,0.030736329,rental_yield_pct,xgboost
floor_area_sqm,0.019551268,rental_yield_pct,xgboost
