feature,importance
yoy_change_pct_lag2,0.6549556
volume_12m_avg,0.10441202
trend_stability,0.06384392
transaction_count,0.055674024
stratified_median_price,0.040873684
mom_change_pct,0.032696232
volume_3m_avg,0.022663774
Postal District,0.017731996
acceleration_2y,0.0019023148
price_psm,0.0017284944
floor_area_sqft,0.0015997288
is_prime_district,0.0012113113
price,0.000520663
price_psf,0.00010134445
log_price_psf,4.4356464e-05
is_large_unit,4.0480754e-05
amenity_count_500m,0.0
is_old,0.0
is_new_launch,0.0
amenity_density_500m,0.0
is_shoebox,0.0
is_ec,0.0
is_condo,0.0
is_hdb,0.0
amenity_density_1km,0.0
is_mrt_adjacent,0.0
