feature,importance
transaction_count,0.39767888
yoy_change_pct_lag2,0.30924594
yoy_change_pct_lag1,0.13280994
stratified_median_price,0.12010648
mom_change_pct,0.021208078
volume_12m_avg,0.009438276
trend_stability,0.0050114696
volume_3m_avg,0.0022651404
yoy_change_pct_lag3,0.0010015077
Postal District,0.00064391765
acceleration_2y,0.0003795391
price,5.1029776e-05
price_psf,4.9559112e-05
price_psm,3.7691272e-05
floor_area_sqft,3.0459993e-05
is_prime_district,1.938596e-05
log_price_psf,1.0406041e-05
is_large_unit,7.2153716e-06
is_shoebox,5.0654894e-06
amenity_density_500m,0.0
amenity_density_1km,0.0
is_hdb,0.0
is_condo,0.0
is_ec,0.0
is_new_launch,0.0
is_old,0.0
amenity_count_500m,0.0
is_mrt_adjacent,0.0
