feature,importance
yoy_change_pct_lag2,0.5114304
transaction_count,0.1475037
trend_stability,0.09807897
stratified_median_price,0.05510032
volume_3m_avg,0.03515376
hawker_within_2km,0.026539968
yoy_change_pct_lag1,0.026126448
acceleration_2y,0.01686871
yoy_change_pct_lag3,0.016475674
mom_change_pct,0.015075362
volume_12m_avg,0.014788039
supermarket_within_2km,0.005109082
park_within_2km,0.0050743194
mrt_within_2km,0.0026623434
price,0.0025793405
floor_area_sqft,0.0022332226
floor_area_sqm,0.0021813172
dist_to_nearest_hawker,0.0020768794
childcare_within_500m,0.0020293535
lease_commence_date,0.0018535969
price_psm,0.0014709898
dist_to_nearest_park,0.0011588108
mrt_within_1km,0.0010307577
preschool_within_1km,0.00087857706
hawker_within_1km,0.00064933905
dist_to_nearest_preschool,0.00051827857
dist_to_nearest_supermarket,0.00048627725
dist_to_nearest_childcare,0.0004713435
remaining_lease_months,0.00040911752
preschool_within_2km,0.00040763104
park_within_500m,0.0003735448
amenity_density_1km,0.00036497248
supermarket_within_500m,0.00027235187
mrt_within_500m,0.00026461142
remaining_lease_years,0.00024268046
childcare_within_2km,0.00023844282
childcare_within_1km,0.00021783219
dist_to_nearest_mrt,0.00021479907
log_price_psf,0.00019482046
park_within_1km,0.00019100936
hawker_within_500m,0.00018824794
preschool_within_500m,0.00014656915
mrt_x_hawker,0.00013192948
price_psf,0.0001288642
dist_mrt_sq,0.00012449682
supermarket_within_1km,0.00012283753
lease_decay_factor,8.888479e-05
amenity_density_500m,7.124327e-05
is_hdb,0.0
is_condo,0.0
is_ec,0.0
