town,flat_type,monthly_rent,resale_price,annual_rent,rental_yield_pct
ANG MO KIO,EXECUTIVE,4000.0,1100000.0,48000.0,4.363636363636364
BEDOK,EXECUTIVE,4000.0,980000.0,48000.0,4.8979591836734695
BISHAN,EXECUTIVE,4500.0,1260000.0,54000.0,4.285714285714286
BUKIT BATOK,EXECUTIVE,3800.0,861000.0,45600.0,5.29616724738676
BUKIT PANJANG,EXECUTIVE,3500.0,858000.0,42000.0,4.895104895104895
BUKIT TIMAH,EXECUTIVE,4550.0,1330000.0,54600.0,4.105263157894737
CHOA CHU KANG,EXECUTIVE,3500.0,800000.0,42000.0,5.25
CLEMENTI,EXECUTIVE,4500.0,1061000.0,54000.0,5.089538171536287
GEYLANG,EXECUTIVE,4000.0,994444.0,48000.0,4.826817799695106
HOUGANG,EXECUTIVE,3600.0,950000.0,43200.0,4.5473684210526315
JURONG EAST,EXECUTIVE,4100.0,880000.0,49200.0,5.590909090909091
JURONG WEST,EXECUTIVE,3800.0,778000.0,45600.0,5.861182519280206
KALLANG/WHAMPOA,EXECUTIVE,4200.0,1000000.0,50400.0,5.04
PASIR RIS,EXECUTIVE,3800.0,881400.0,45600.0,5.173587474472431
PUNGGOL,EXECUTIVE,3500.0,792888.0,42000.0,5.297091140236705
QUEENSTOWN,EXECUTIVE,4600.0,1310250.0,55200.0,4.212936462507155
SEMBAWANG,EXECUTIVE,3475.0,730000.0,41700.0,5.712328767123288
SENGKANG,EXECUTIVE,3500.0,810000.0,42000.0,5.185185185185185
SERANGOON,EXECUTIVE,3800.0,1025000.0,45600.0,4.448780487804878
TAMPINES,EXECUTIVE,4000.0,938000.0,48000.0,5.11727078891258
TOA PAYOH,EXECUTIVE,3900.0,1069000.0,46800.0,4.377923292797006
WOODLANDS,EXECUTIVE,3500.0,880000.0,42000.0,4.772727272727273
YISHUN,EXECUTIVE,3600.0,868888.0,43200.0,4.971872093986797
