feature,importance,target,model
school_primary_quality_score,0.21789871,yoy_change_pct,xgboost
year,0.17604935,yoy_change_pct,xgboost
remaining_lease_months,0.06825184,yoy_change_pct,xgboost
school_density_score,0.059362583,yoy_change_pct,xgboost
school_accessibility_score,0.056018315,yoy_change_pct,xgboost
school_within_2km,0.048822224,yoy_change_pct,xgboost
dist_to_nearest_supermarket,0.04589455,yoy_change_pct,xgboost
dist_to_nearest_hawker,0.045102388,yoy_change_pct,xgboost
school_within_500m,0.044026703,yoy_change_pct,xgboost
floor_area_sqm,0.041299082,yoy_change_pct,xgboost
dist_to_nearest_park,0.038131382,yoy_change_pct,xgboost
school_secondary_dist_score,0.037823625,yoy_change_pct,xgboost
school_secondary_quality_score,0.035467,yoy_change_pct,xgboost
dist_to_nearest_mrt,0.034059357,yoy_change_pct,xgboost
school_within_1km,0.028777668,yoy_change_pct,xgboost
school_primary_dist_score,0.02301523,yoy_change_pct,xgboost
