town,price_psm_median,price_psm_mean,rental_yield_pct_mean,price_growth_yoy,mom_change_pct_mean,investor_score,investor_rank,value_score,value_rank,momentum_score,momentum_rank,affordability_score,affordability_rank,liquidity_score,liquidity_rank,price_psm_count,market_activity_score
ANG MO KIO,5588.24,5899.71,6.96,53.32985390066695,9.67,0.6695056074358892,4.0,0.9613123766675736,2.0,0.3392764183331838,16.0,0.9675227125188208,11.0,0.4930067103241976,8.0,6199,0.4422845620483873
BEDOK,5478.26,5625.93,6.49,35.871376276827185,14.18,0.549411688869703,12.0,0.8672630125528991,6.0,0.2456732581191684,19.0,0.9712607189833492,10.0,0.30463254911472226,13.0,3869,0.5992622267797362
BISHAN,6626.51,6693.86,4.89,36.65334097695032,38.6,0.19680373279349453,22.0,0.521219007314299,140.0,0.6271566199783383,3.0,0.9322339329959453,21.0,0.18214892068881883,18.0,2354,0.17992391050246273
BUKIT MERAH,7093.84,7598.7,5.11,37.52211972313702,12.42,0.31409839583567306,19.0,0.5581751472532552,125.0,0.23408898238034562,21.0,0.9163502945065104,23.0,0.3100493168404883,12.0,3936,0.42581811149900944
BUKIT TIMAH,7066.33,7307.87,4.62,33.55761673946972,35.61,0.08085983273454729,24.0,0.4586426529717457,156.0,0.5524880328897461,6.0,0.9172853059434914,22.0,0.020616056269706525,66.0,356,0.0
CENTRAL AREA,9690.72,9484.19,,35.50267606145603,26.51,0.17307934577129494,23.0,0.828087390091122,12.0,0.4311735687967887,9.0,0.828087390091122,30.0,0.04737650578058048,31.0,687,0.06732365937346864
CHOA CHU KANG,4859.66,4858.06,6.07,48.340986904930475,14.93,0.5519864394346671,11.0,0.7920612327440382,26.0,0.37338132896781856,15.0,0.9922857307941989,2.0,0.5648799417899588,5.0,7088,0.5459838913502447
CLEMENTI,5732.68,6038.73,6.26,37.355456978934676,16.94,0.40877710080052226,15.0,0.8160006163630018,14.0,0.3017971174080586,18.0,0.9626134776239629,14.0,0.19039534319670143,16.0,2456,0.24357303298601396
Condo - ALEXANDRA VIEW,19672.13,19330.27,,,,,,0.48883866209414006,151.0,,,0.48883866209414006,152.0,0.00856981162583879,96.0,207,
Condo - AMBER GARDENS,26174.29,25204.64,,,,,,0.26784288001196377,183.0,,,0.26784288001196377,183.0,0.026275365833939687,56.5,426,
Condo - AMBER ROAD,23142.43,22732.14,,,,,,0.37088990928587695,174.0,,,0.37088990928587695,174.0,0.016735386854232356,74.0,308,
Condo - ANAMALAI AVENUE,29880.0,29739.85,,,,,,0.14189299880022166,197.0,,,0.14189299880022166,197.0,0.005497615005255073,117.0,169,
Condo - ANG MO KIO AVENUE 2,17972.97,17651.41,,,,,,0.5465898083413487,134.0,,,0.5465898083413487,136.0,0.0,203.0,101,
Condo - ANG MO KIO RISE,22715.48,22751.63,,,,,,0.3854011100499285,170.0,,,0.3854011100499285,170.0,0.021424529064596975,63.0,366,
Condo - ARTHUR ROAD,25983.47,25882.82,,,,,,0.2743284809717865,182.0,,,0.2743284809717865,182.0,0.012612175600291051,86.0,257,
Condo - BALMORAL ROAD,30872.28,29604.64,,,,,,0.10816733000023793,201.0,,,0.10816733000023793,201.0,0.007195407874525022,105.5,190,
Condo - BAYSHORE ROAD,12234.04,12960.77,,,,,,0.7416448859870641,46.0,,,0.7416448859870641,57.0,0.012773870159269141,85.0,259,
Condo - BEACH ROAD,21904.76,24521.5,,,,,,0.41295590729417686,164.0,,,0.41295590729417686,164.0,0.0030721966205837174,153.0,139,
Condo - BEDOK CENTRAL,22793.63,22722.67,,,,,,0.3827449434268798,172.0,,,0.3827449434268798,172.0,0.0018594874282480394,166.5,124,
Condo - BEDOK RESERVOIR ROAD,13333.33,13291.05,,,,,,0.704282155250645,70.0,,,0.704282155250645,77.0,0.019322499797881802,70.0,340,
Condo - BEDOK RISE,16288.66,16161.65,,,,,,0.6038362319480934,111.0,,,0.6038362319480934,115.0,0.0001616945589780904,201.5,103,
Condo - BEDOK SOUTH AVENUE 3,15722.23,15626.1,,,,,,0.6230880868462823,105.0,,,0.6230880868462823,110.0,0.0063869350796345705,111.0,180,
Condo - BERNAM STREET,26522.73,27130.52,,,,,,0.2560000815713359,186.0,,,0.2560000815713359,186.0,0.0030721966205837174,153.0,139,
Condo - BIDADARI PARK DRIVE,23146.07,23277.37,,,,,,0.3707661927598642,175.0,,,0.3707661927598642,175.0,0.013824884792626729,81.5,272,
Condo - BISHAN STREET 15,19038.79,18807.13,,,,,,0.5103646578592282,142.0,,,0.5103646578592282,143.0,0.0031530439000727628,149.5,140,
Condo - BROOKVALE DRIVE,19920.45,20100.45,,,,,,0.4803987478799949,153.0,,,0.4803987478799949,154.0,0.028700784218611042,51.0,456,
Condo - BUKIT TIMAH ROAD,28666.3,26614.14,,,,,,0.18314430309189356,193.0,,,0.18314430309189356,193.0,0.022718085536421698,61.0,382,
Condo - CANBERRA DRIVE,15741.57,14676.67,,,,,,0.6224307578316979,106.0,,,0.6224307578316979,111.0,0.05837173579109063,27.0,823,
Condo - CHESTNUT AVENUE,13858.27,13798.91,,,,,,0.686440464820662,84.0,,,0.686440464820662,90.0,0.0009701673538685423,185.0,113,
Condo - CHIN SWEE ROAD,25408.04,25538.88,,,,,,0.2938862283793475,180.0,,,0.2938862283793475,180.0,0.00040423639744522596,196.0,106,
Condo - CLARKE QUAY,31061.88,31659.58,,,,,,0.10172319446946343,202.0,,,0.10172319446946343,202.0,0.0445468509984639,33.0,652,
Condo - CLEMENTI AVENUE 1,17804.35,17855.58,,,,,,0.5523208744447201,131.0,,,0.5523208744447201,133.0,0.011480313687444418,89.0,243,
Condo - COMMONWEALTH AVENUE,20855.4,20795.64,,,,,,0.44862161436471215,157.0,,,0.44862161436471215,157.0,0.0018594874282480394,166.5,124,
Condo - COMPASSVALE BOW,18242.25,17247.6,,,,,,0.5374375044609324,136.0,,,0.5374375044609324,138.0,0.031207049882771443,47.0,487,
Condo - DAIRY FARM LANE,17725.9,17596.65,,,,,,0.5549872374847478,128.0,,,0.5549872374847478,130.0,0.024658420244158784,59.0,406,
Condo - DAKOTA CRESCENT,17914.38,17497.04,,,,,,0.5485811685773618,133.0,,,0.5485811685773618,135.0,0.0013744037513137683,177.5,118,
Condo - DE SOUZA AVENUE,19281.88,19364.74,,,,,,0.5021025011810849,143.0,,,0.5021025011810849,144.0,0.007842186110437384,101.0,198,
Condo - DEPOT ROAD,14674.26,14141.73,,,,,,0.658706550518148,94.0,,,0.658706550518148,99.0,0.0014552510308028135,173.0,119,
Condo - DOVER RISE,13444.44,13485.1,,,,,,0.7005057422821621,73.0,,,0.7005057422821621,79.0,0.0017786401487589942,168.0,123,
Condo - DUNEARN ROAD,30268.52,27205.7,,,,,,0.12868795905118946,199.0,,,0.12868795905118946,199.0,0.012046244643867735,87.0,250,
Condo - EAST COAST ROAD,17727.27,17948.29,,,,,,0.55494067384721,129.0,,,0.55494067384721,131.0,0.0003233891179561808,198.5,105,
