planning_area,mean_yoy,median_yoy,std_yoy,years,above_threshold_years,consistency,category
BUKIT TIMAH,46.66629282973138,50.416666666666664,30.94107495688778,10,7,0.7,High Consistency
MARINE PARADE,31.133813632451766,30.060451596596177,24.089851498977964,9,6,0.6666666666666666,High Consistency
TANGLIN,48.73015873015873,62.5,44.43574089240656,9,6,0.6666666666666666,High Consistency
SEMBAWANG,18.584317467305482,16.44701536521756,19.942920813571046,9,3,0.3333333333333333,Moderate Consistency
PUNGGOL,14.611262752403812,4.060812735209707,38.92783846103336,10,3,0.3,Occasional Growth
TOA PAYOH,18.004076812989126,10.812839953157567,33.27572577426394,10,3,0.3,Occasional Growth
ANG MO KIO,10.890317544203986,8.784411884779692,16.49475689852201,9,2,0.2222222222222222,Occasional Growth
YISHUN,13.038968126423319,14.267090885421727,15.778561232265098,9,2,0.2222222222222222,Occasional Growth
CHANGI,7.708116963219076,5.201492575251517,30.43960455177046,9,2,0.2222222222222222,Occasional Growth
NOVENA,6.0947634413079514,6.56618145543518,21.613266046290978,10,2,0.2,Occasional Growth
TAMPINES,6.741656780606339,3.2879277387910104,25.42211673220665,10,2,0.2,Occasional Growth
SENGKANG,8.414312603685133,9.21255736121141,29.954529180277788,10,2,0.2,Occasional Growth
BUKIT PANJANG,1.8976637828138614,-4.956927019895536,28.114607979994968,10,2,0.2,Occasional Growth
ROCHOR,11.885454318729188,8.399610016638613,16.718799932008423,10,2,0.2,Occasional Growth
QUEENSTOWN,6.518044234107042,4.2249483581173415,27.490130695470818,10,2,0.2,Occasional Growth
CLEMENTI,9.086151991263407,6.645262352550194,25.270976882784776,10,2,0.2,Occasional Growth
PASIR RIS,10.206649258508122,3.9968051874166637,30.683151995689045,10,2,0.2,Occasional Growth
BEDOK,4.704414583621643,0.242937324520883,24.256872456925578,10,2,0.2,Occasional Growth
KALLANG,6.669448924580328,6.927495280069216,20.93116581010069,10,2,0.2,Occasional Growth
HOUGANG,12.51225880496484,6.89068018122823,29.130466792800004,10,2,0.2,Occasional Growth
BUKIT MERAH,7.6188886863166765,8.123844714924651,12.983832520310143,9,1,0.1111111111111111,Occasional Growth
OUTRAM,8.803658279807157,6.41160807985937,16.164349500908855,10,1,0.1,Occasional Growth
JURONG WEST,3.9963626390466738,7.7362995913721715,19.60463628395345,10,1,0.1,Occasional Growth
JURONG EAST,5.0512914506705355,7.588688428873981,19.108842357661256,10,1,0.1,Occasional Growth
GEYLANG,6.39133330019647,6.668245152832986,19.54448974857614,10,1,0.1,Occasional Growth
SERANGOON,4.108249659760228,6.047137555109637,20.619081040401777,10,1,0.1,Occasional Growth
DOWNTOWN CORE,6.172389512671866,1.592186954673695,22.529489338435756,10,1,0.1,Occasional Growth
BISHAN,5.326523615006293,5.645537345378037,20.008585193186644,10,1,0.1,Occasional Growth
WOODLANDS,8.311314309873378,13.270538635655232,23.263593771952586,10,1,0.1,Occasional Growth
CHOA CHU KANG,3.1646606424781467,-1.0040856327154917,24.38516897433805,10,1,0.1,Occasional Growth
