planning_area,property_type,metric,pre_covid_value,covid_value,post_covid_value,whole_period_value,covid_impact_pct,recovery_pct
ANG MO KIO,HDB,median_price,206000.0,390888.0,1230000.0,250000.0,89.75,214.67
ANG MO KIO,HDB,median_psf,239.26,433.54,1548.0,271.77,81.21,257.06
BEDOK,HDB,median_price,258000.0,850000.0,1230000.0,337000.0,229.46,44.71
BEDOK,HDB,median_psf,249.59,993.0,1329.0,322.47,297.86,33.84
BISHAN,HDB,median_price,384160.0,745000.0,1020000.0,425000.0,93.93,36.91
BISHAN,HDB,median_psf,324.78,579.51,813.37,354.84,78.43,40.36
BUKIT MERAH,HDB,median_price,258000.0,1020000.0,1100000.0,352888.0,295.35,7.84
BUKIT MERAH,HDB,median_psf,292.64,1253.0,1277.33,391.52,328.17,1.94
BUKIT PANJANG,HDB,median_price,460000.0,1267244.0,1582200.0,1448000.0,175.49,24.85
BUKIT PANJANG,HDB,median_psf,368.04,1369.5,1694.0,1574.0,272.11,23.69
BUKIT TIMAH,HDB,median_price,399500.0,1752500.0,2016000.0,1730000.0,338.67,15.04
BUKIT TIMAH,HDB,median_psf,312.09,1874.0,2345.0,1958.0,500.46,25.13
ROCHOR,HDB,median_price,218500.0,990000.0,1310000.0,425000.0,353.09,32.32
ROCHOR,HDB,median_psf,276.09,1388.0,1758.0,550.07,402.74,26.66
OUTRAM,HDB,median_price,435000.0,1154000.0,1590000.0,1070000.0,165.29,37.78
OUTRAM,HDB,median_psf,589.31,1394.0,2423.0,1002.6,136.55,73.82
CHOA CHU KANG,HDB,median_price,310000.0,465000.0,590000.0,341000.0,50.0,26.88
CHOA CHU KANG,HDB,median_psf,252.95,394.58,500.24,277.24,55.99,26.78
CLEMENTI,HDB,median_price,225000.0,1276197.0,1350000.0,290000.0,467.2,5.78
CLEMENTI,HDB,median_psf,254.47,1381.0,1599.0,298.12,442.69,15.79
GEYLANG,HDB,median_price,194000.0,855500.0,1338000.0,300000.0,340.98,56.4
GEYLANG,HDB,median_psf,248.41,1170.0,1716.0,377.73,370.99,46.67
