feature,importance,target,model
property_type_HDB,0.4376423,price_psf,xgboost
flat_type_None,0.25159425,price_psf,xgboost
flat_model_Other,0.15593854,price_psf,xgboost
storey_range_None,0.13177432,price_psf,xgboost
psf_tier_High PSF,0.009194198,price_psf,xgboost
property_type_Condominium,0.0040550446,price_psf,xgboost
psf_tier_Low PSF,0.0034218102,price_psf,xgboost
psf_tier_Medium PSF,0.0029081332,price_psf,xgboost
property_type_EC,0.001246437,price_psf,xgboost
market_tier_Luxury,0.0002946175,price_psf,xgboost
stratified_median_price,0.00017294845,price_psf,xgboost
hawker_within_2km,0.00014227179,price_psf,xgboost
market_tier_Mass Market,0.000108468426,price_psf,xgboost
hawker_within_1km,0.00010630102,price_psf,xgboost
remaining_lease_months,8.712808e-05,price_psf,xgboost
market_tier_Mid-Tier,7.866125e-05,price_psf,xgboost
floor_area_sqm,5.7840272e-05,price_psf,xgboost
flat_model_New Generation,5.761786e-05,price_psf,xgboost
town_QUEENSTOWN,5.7574904e-05,price_psf,xgboost
flat_model_Improved,5.7520025e-05,price_psf,xgboost
town_PASIR RIS,5.5712717e-05,price_psf,xgboost
flat_model_DBSS,4.7576767e-05,price_psf,xgboost
flat_model_NEW GENERATION,4.7269936e-05,price_psf,xgboost
town_Other,4.3158358e-05,price_psf,xgboost
flat_model_IMPROVED,3.2108917e-05,price_psf,xgboost
flat_model_STANDARD,2.8938024e-05,price_psf,xgboost
flat_type_3 ROOM,2.8631699e-05,price_psf,xgboost
volume_12m_avg,2.4191715e-05,price_psf,xgboost
flat_type_2 ROOM,2.2583552e-05,price_psf,xgboost
flat_model_Standard,2.1819053e-05,price_psf,xgboost
storey_range_04 TO 06,2.112248e-05,price_psf,xgboost
supermarket_within_2km,2.110938e-05,price_psf,xgboost
storey_range_01 TO 03,1.967549e-05,price_psf,xgboost
preschool_within_500m,1.9131405e-05,price_psf,xgboost
flat_model_Model A,1.8890405e-05,price_psf,xgboost
storey_range_28 TO 30,1.8533503e-05,price_psf,xgboost
park_within_2km,1.642756e-05,price_psf,xgboost
dist_to_nearest_supermarket,1.6395494e-05,price_psf,xgboost
flat_model_MODEL A,1.6307438e-05,price_psf,xgboost
flat_model_Simplified,1.6253296e-05,price_psf,xgboost
flat_model_Premium Apartment,1.5731803e-05,price_psf,xgboost
childcare_within_2km,1.5341318e-05,price_psf,xgboost
town_BEDOK,1.3311076e-05,price_psf,xgboost
storey_range_19 TO 21,1.31016395e-05,price_psf,xgboost
town_ANG MO KIO,1.2928961e-05,price_psf,xgboost
town_SERANGOON,1.24439375e-05,price_psf,xgboost
town_CLEMENTI,1.2363177e-05,price_psf,xgboost
momentum_signal_missing,1.2251044e-05,price_psf,xgboost
storey_range_37 TO 39,1.1902556e-05,price_psf,xgboost
storey_range_34 TO 36,1.17496265e-05,price_psf,xgboost
storey_range_25 TO 27,1.16354595e-05,price_psf,xgboost
preschool_within_2km,1.1423198e-05,price_psf,xgboost
storey_range_10 TO 12,1.1361022e-05,price_psf,xgboost
flat_type_EXECUTIVE,1.0823472e-05,price_psf,xgboost
park_within_500m,1.0664919e-05,price_psf,xgboost
supermarket_within_1km,1.0422069e-05,price_psf,xgboost
flat_model_Model A2,1.0250764e-05,price_psf,xgboost
mrt_within_500m,1.0153562e-05,price_psf,xgboost
flat_type_1 ROOM,9.85984e-06,price_psf,xgboost
town_BUKIT MERAH,9.784e-06,price_psf,xgboost
storey_range_07 TO 09,9.43489e-06,price_psf,xgboost
childcare_within_500m,9.412026e-06,price_psf,xgboost
storey_range_31 TO 33,9.292517e-06,price_psf,xgboost
volume_3m_avg,8.269055e-06,price_psf,xgboost
park_within_1km,8.0794425e-06,price_psf,xgboost
storey_range_22 TO 24,8.017432e-06,price_psf,xgboost
storey_range_40 TO 42,7.611873e-06,price_psf,xgboost
town_BISHAN,7.534906e-06,price_psf,xgboost
dist_to_nearest_mrt,7.4906984e-06,price_psf,xgboost
hawker_within_500m,7.1678623e-06,price_psf,xgboost
flat_model_Maisonette,6.944789e-06,price_psf,xgboost
mrt_within_2km,6.9199878e-06,price_psf,xgboost
dist_to_nearest_preschool,6.7210453e-06,price_psf,xgboost
town_YISHUN,6.6550383e-06,price_psf,xgboost
supermarket_within_500m,6.606798e-06,price_psf,xgboost
dist_to_nearest_childcare,5.9746976e-06,price_psf,xgboost
preschool_within_1km,5.701072e-06,price_psf,xgboost
town_TOA PAYOH,5.646947e-06,price_psf,xgboost
transaction_count,5.4852544e-06,price_psf,xgboost
dist_to_nearest_hawker,5.413359e-06,price_psf,xgboost
town_PUNGGOL,4.7900244e-06,price_psf,xgboost
town_KALLANG/WHAMPOA,4.535325e-06,price_psf,xgboost
town_GEYLANG,4.434976e-06,price_psf,xgboost
