lease_years,market_value_pct,theoretical_value_pct,arbitrage_gap_pct,signal
30.0,1735.2844047149822,30.0,1705.2844047149822,SELL
31.0,1354.7502778405983,31.0,1323.7502778405983,SELL
32.0,1037.7823440457457,32.0,1005.7823440457457,SELL
33.0,778.6018585050496,33.0,745.6018585050496,SELL
34.0,571.4300763930788,34.0,537.4300763930788,SELL
35.0,410.48825288441685,35.0,375.48825288441685,SELL
36.0,289.99764315365195,36.0,253.99764315365195,SELL
37.0,204.17950237537417,37.0,167.17950237537417,SELL
38.0,147.25508572416527,38.0,109.25508572416527,SELL
39.0,113.4456483746134,39.0,74.4456483746134,SELL
40.0,96.97244550130455,40.0,56.97244550130455,SELL
41.0,92.05673227882353,41.0,51.05673227882353,SELL
42.0,92.91976388175695,42.0,50.91976388175695,SELL
43.0,93.78279548469037,43.0,50.78279548469037,SELL
44.0,90.88958411141378,44.0,46.88958411141378,SELL
45.0,87.6170556085109,45.0,42.617055608510896,SELL
46.0,84.76728194993937,46.0,38.767281949939374,SELL
47.0,81.49854617996763,47.0,34.49854617996763,SELL
48.0,83.11115052006146,48.0,35.11115052006146,SELL
49.0,86.85908021177909,49.0,37.85908021177909,SELL
50.0,89.22358736988267,50.0,39.223587369882665,SELL
51.0,90.81750668352552,51.0,39.81750668352552,SELL
52.0,91.83832171815392,52.0,39.83832171815392,SELL
53.0,91.7487904941889,53.0,38.748790494188896,SELL
54.0,88.9811232868227,54.0,34.981123286822694,SELL
55.0,86.48052148572218,55.0,31.48052148572218,SELL
56.0,83.70120952020505,56.0,27.701209520205055,SELL
57.0,81.49854610448828,57.0,24.498546104488284,SELL
58.0,81.58808528938278,58.0,23.588085289382775,SELL
59.0,85.82848994762504,59.0,26.828489947625044,SELL
60.0,86.67305697642183,60.0,26.673056976421833,SELL
61.0,85.5346745944054,61.0,24.534674594405402,SELL
62.0,84.20767523369163,62.0,22.20767523369163,SELL
63.0,81.00021931472085,63.0,18.00021931472085,SELL
64.0,76.64742386183111,64.0,12.647423861831115,SELL
65.0,73.0864696648446,65.0,8.0864696648446,SELL
66.0,71.14663488806687,66.0,5.14663488806687,SELL
67.0,70.95117709081421,67.0,3.9511770908142125,HOLD
68.0,71.18493986574165,68.0,3.1849398657416543,HOLD
69.0,74.17964335720714,69.0,5.179643357207141,SELL
70.0,77.98861091342486,70.0,7.988610913424864,SELL
71.0,80.83326594963279,71.25,9.58326594963279,SELL
72.0,84.68726685739621,72.5,12.18726685739621,SELL
73.0,83.29983530927689,73.75,9.549835309276887,SELL
74.0,81.33212265114868,75.0,6.33212265114868,SELL
75.0,79.95526587463945,76.25,3.7052658746394513,HOLD
76.0,79.48769728234184,77.5,1.9876972823418413,HOLD
77.0,78.70850579861451,78.75,-0.04149420138548976,HOLD
78.0,77.51595266504394,80.0,-2.4840473349560597,HOLD
79.0,74.45399198585247,81.25,-6.796008014147532,BUY
80.0,73.78922416072933,82.5,-8.710775839270667,BUY
81.0,70.20321697562896,83.75,-13.546783024371038,BUY
82.0,69.2343337856697,85.0,-15.765666214330295,BUY
83.0,69.34581716927879,86.25,-16.90418283072121,BUY
84.0,70.57529337943956,87.5,-16.924706620560443,BUY
85.0,73.12419779689498,88.75,-15.625802203105025,BUY
86.0,109.95093425942753,90.0,19.950934259427527,SELL
87.0,119.06087394531389,91.25,27.810873945313887,SELL
88.0,119.56587250443356,92.5,27.065872504433557,SELL
89.0,117.25013399355527,93.75,23.500133993555266,SELL
90.0,112.28794984222854,95.0,17.287949842228542,SELL
91.0,108.96473249699564,95.5,13.464732496995637,SELL
92.0,108.72325301267021,96.0,12.723253012670213,SELL
93.0,104.62597043229785,96.5,8.125970432297848,SELL
94.0,99.09090560342207,97.0,2.0909056034220725,HOLD
95.0,96.97508552896875,97.5,-0.5249144710312521,HOLD
96.0,81.98802695873081,98.0,-16.011973041269187,BUY
97.0,67.00096838849284,98.5,-31.499031611507164,BUY
98.0,74.20575760500036,99.0,-24.794242394999642,BUY
99.0,125.79424239499963,99.5,26.29424239499963,SELL
