feature,coefficient,abs_coef,target
hawker_within_1km,5.8225286381452115,5.8225286381452115,yoy_change_pct
year,-5.477244800496505,5.477244800496505,yoy_change_pct
hawker_within_500m,-4.355205767140911,4.355205767140911,yoy_change_pct
mrt_within_1km,2.198200234231505,2.198200234231505,yoy_change_pct
mrt_within_500m,-1.7968687312023441,1.7968687312023441,yoy_change_pct
park_within_500m,1.7387162028241054,1.7387162028241054,yoy_change_pct
mrt_within_2km,-1.0763206181867442,1.0763206181867442,yoy_change_pct
supermarket_within_500m,-0.5504194632534793,0.5504194632534793,yoy_change_pct
park_within_1km,0.40935185633391485,0.40935185633391485,yoy_change_pct
supermarket_within_1km,-0.17432306020522761,0.17432306020522761,yoy_change_pct
floor_area_sqm,-0.10540202725955441,0.10540202725955441,yoy_change_pct
dist_to_nearest_mrt,-0.011226794611425684,0.011226794611425684,yoy_change_pct
remaining_lease_months,-0.009672070968943982,0.009672070968943982,yoy_change_pct
