feature,importance,target,model
year,0.20636818,yoy_change_pct,xgboost
remaining_lease_months,0.09970487,yoy_change_pct,xgboost
hawker_within_1km,0.08692015,yoy_change_pct,xgboost
hawker_within_500m,0.081178404,yoy_change_pct,xgboost
mrt_within_2km,0.074484214,yoy_change_pct,xgboost
floor_area_sqm,0.07029864,yoy_change_pct,xgboost
mrt_within_1km,0.061086822,yoy_change_pct,xgboost
supermarket_within_1km,0.05890204,yoy_change_pct,xgboost
park_within_1km,0.05604168,yoy_change_pct,xgboost
park_within_500m,0.05415031,yoy_change_pct,xgboost
supermarket_within_500m,0.050886016,yoy_change_pct,xgboost
mrt_within_500m,0.050023366,yoy_change_pct,xgboost
dist_to_nearest_mrt,0.049955256,yoy_change_pct,xgboost
