feature,importance
is_extreme_appreciation,0.95312476
yoy_change_pct_lag2,0.039338153
yoy_change_pct_lag3,0.0014394324
trend_stability,0.0009615246
transaction_count,0.0009494631
yoy_change_pct_lag1,0.0008447552
volume_12m_avg,0.0008398841
acceleration_2y,0.00052548165
volume_3m_avg,0.00051155663
mom_change_pct,0.0004225256
stratified_median_price,0.00039584158
Postal District,0.0002501013
is_luxury,8.04483e-05
log_price_psf,7.228181e-05
is_prime_district,7.1137474e-05
price,4.1798074e-05
price_psf,3.6552665e-05
price_psm,3.5283316e-05
floor_area_sqft,2.2920789e-05
is_large_unit,1.3747349e-05
is_shoebox,1.2465621e-05
price_per_100sqft,7.330578e-06
is_mid_market,2.5531874e-06
is_mrt_adjacent,0.0
amenity_count_500m,0.0
is_new_launch,0.0
is_old,0.0
has_all_amenities,0.0
is_hdb,0.0
is_mass_market,0.0
is_ec,0.0
is_condo,0.0
amenity_density_1km,0.0
amenity_density_500m,0.0
is_mrt_nearby,0.0
