feature,importance,target,model
year,0.28869772,rental_yield_pct,xgboost
school_primary_quality_score,0.24623589,rental_yield_pct,xgboost
school_primary_dist_score,0.11554368,rental_yield_pct,xgboost
school_density_score,0.046939675,rental_yield_pct,xgboost
school_secondary_quality_score,0.042714696,rental_yield_pct,xgboost
school_within_1km,0.034516357,rental_yield_pct,xgboost
school_accessibility_score,0.031186996,rental_yield_pct,xgboost
dist_to_nearest_park,0.029168671,rental_yield_pct,xgboost
school_within_2km,0.028957678,rental_yield_pct,xgboost
dist_to_nearest_hawker,0.027018849,rental_yield_pct,xgboost
dist_to_nearest_mrt,0.026522832,rental_yield_pct,xgboost
dist_to_nearest_supermarket,0.023708265,rental_yield_pct,xgboost
school_secondary_dist_score,0.020673739,rental_yield_pct,xgboost
remaining_lease_months,0.018137226,rental_yield_pct,xgboost
school_within_500m,0.013681257,rental_yield_pct,xgboost
floor_area_sqm,0.0062964894,rental_yield_pct,xgboost
