planning_area,n_test,r2,mae,y_mean
MARINE PARADE,1030,-2.791580169980695,134.5832940556948,628.8385432567377
OUTRAM,778,-2.7016218783864914,421.53758395782427,1050.948100031181
BUKIT TIMAH,570,-2.573142343270314,175.92933083065296,697.5479256662267
NOVENA,486,-1.957777972863735,93.24415820156572,477.79363992783493
JURONG WEST,8314,-1.7984996727952534,81.53664604985931,443.33112256193874
BISHAN,3902,-1.7956574140807149,144.0400832251922,643.8374589986747
WOODLANDS,19604,-1.1408392829265233,98.55298032115306,483.1296384930783
ROCHOR,420,-1.1031637363204836,91.18816642098308,627.8551850186124
CHOA CHU KANG,12228,-0.9196563284468569,76.2043465574966,467.3304515848845
YISHUN,11694,-0.7322352135817383,71.56125933791985,483.5105375412287
DOWNTOWN CORE,116,-0.6852950616947391,76.54641645799921,553.3033163512042
HOUGANG,9886,-0.6407367087377627,85.2006123444436,516.6677334185026
SEMBAWANG,4620,-0.4325442947766871,88.76383941755104,501.93713820508964
SERANGOON,3706,-0.4099737847234497,90.06539195059683,565.5089339276635
TAMPINES,11146,-0.38582967771265175,70.39426079414926,515.7502533614362
SENGKANG,15170,-0.3068481594748902,97.26425060477264,558.0218873992566
BUKIT MERAH,6816,-0.19098590944737315,175.72015977324514,725.4924892061101
PUNGGOL,19076,-0.1631960712776661,82.34919496487512,570.299639624488
JURONG EAST,2772,-0.08093185347643561,56.21599708575718,486.0618115633257
BEDOK,6468,0.12612377037259226,73.4944648875854,538.4948024318319
QUEENSTOWN,21576,0.13478615207828504,105.5929752310511,633.7829974704774
PASIR RIS,7220,0.15265600487545516,70.2791557629955,509.9248441133015
TOA PAYOH,2778,0.23434408104829973,118.36127679732553,595.3303986565684
KALLANG,5032,0.2527162323161807,137.4129469933524,699.0026756138857
GEYLANG,4108,0.37016401315676817,83.0196239661451,583.5583433088547
ANG MO KIO,10404,0.3827425504012478,84.72175889505202,570.8633205812139
CLEMENTI,4080,0.3911393875341387,76.43045537512565,579.6893266198531
