planning_area,property_type,target,forecast_horizon,forecast_date,predicted_value,confidence_lower,confidence_upper,trend_pct,model_r2,last_training_date
ANG MO KIO,HDB,median_price,6m,2026-06-01,495628.43,466263.33,524754.44,-0.87,0.9681,2026-01-01
ANG MO KIO,HDB,median_price,12m,2026-12-01,575539.93,546509.26,604978.57,15.11,0.9681,2026-01-01
BEDOK,HDB,median_price,6m,2026-06-01,551743.07,522673.99,581224.08,3.81,0.9686,2026-01-01
BEDOK,HDB,median_price,12m,2026-12-01,550469.43,520536.02,579889.09,3.57,0.9686,2026-01-01
BISHAN,HDB,median_price,6m,2026-06-01,806240.26,750780.89,861588.0,3.36,0.9518,2026-01-01
BISHAN,HDB,median_price,12m,2026-12-01,994459.11,939841.6,1049016.46,27.49,0.9518,2026-01-01
BUKIT BATOK,HDB,median_price,6m,2026-06-01,692345.81,658669.85,726611.12,11.13,0.9639,2026-01-01
BUKIT BATOK,HDB,median_price,12m,2026-12-01,705730.26,670856.57,740279.12,13.28,0.9639,2026-01-01
BUKIT MERAH,HDB,median_price,6m,2026-06-01,860252.49,810244.26,909445.12,11.72,0.9709,2026-01-01
BUKIT MERAH,HDB,median_price,12m,2026-12-01,842878.01,793003.19,892249.62,9.46,0.9709,2026-01-01
BUKIT PANJANG,HDB,median_price,6m,2026-06-01,642083.34,614388.85,669453.39,6.13,0.9749,2026-01-01
BUKIT PANJANG,HDB,median_price,12m,2026-12-01,590680.9,563302.08,618547.19,-2.37,0.9749,2026-01-01
BUKIT TIMAH,HDB,median_price,6m,2026-06-01,1085451.15,930706.64,1239489.64,11.9,0.7746,2026-01-01
BUKIT TIMAH,HDB,median_price,12m,2026-12-01,826068.6,672291.88,977389.84,-14.84,0.7746,2026-01-01
CHOA CHU KANG,HDB,median_price,6m,2026-06-01,666836.64,641475.22,692499.63,8.43,0.9777,2026-01-01
CHOA CHU KANG,HDB,median_price,12m,2026-12-01,647832.07,621507.17,674912.82,5.34,0.9777,2026-01-01
CLEMENTI,HDB,median_price,6m,2026-06-01,545357.53,493887.58,597502.33,-7.57,0.934,2026-01-01
CLEMENTI,HDB,median_price,12m,2026-12-01,649378.47,597166.16,702014.9,10.06,0.934,2026-01-01
GEYLANG,HDB,median_price,6m,2026-06-01,612492.79,556986.99,667425.44,-9.73,0.9123,2026-01-01
GEYLANG,HDB,median_price,12m,2026-12-01,587915.92,532806.22,643454.07,-13.35,0.9123,2026-01-01
HOUGANG,HDB,median_price,6m,2026-06-01,674239.93,647289.5,701790.75,3.73,0.9771,2026-01-01
