Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
RIVERCOVE RESIDENCES,"1,450,000",904.18,"1,604",Jan-26,ANCHORVALE LANE,Resale,Strata,84,"17,262",-,Executive Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,01 to 05
THE TAMPINES TRILLIANT,"1,766,000","1,011.82","1,745",Jan-26,TAMPINES CENTRAL 7,Resale,Strata,94,"18,787",-,Executive Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,06 to 10
TWIN WATERFALLS,"1,705,000","1,108.69","1,538",Jan-26,PUNGGOL WALK,Resale,Strata,103,"16,553",-,Executive Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
1 CANBERRA,"2,700,000","2,712.53",995,Jan-26,CANBERRA DRIVE,Resale,Strata,252,"10,714",-,Executive Condominium,1,99 yrs lease commencing from 2012,27,Outside Central Region,11 to 15
RIVERCOVE RESIDENCES,"1,438,000",904.18,"1,590",Jan-26,ANCHORVALE LANE,Resale,Strata,84,"17,119",-,Executive Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,06 to 10
RIVERCOVE RESIDENCES,"1,450,000",904.18,"1,604",Jan-26,ANCHORVALE LANE,Resale,Strata,84,"17,262",-,Executive Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,01 to 05
NORTHOAKS,"1,060,000","1,173.28",903,Jan-26,WOODLANDS CRESCENT,Resale,Strata,109,"9,725",-,Executive Condominium,1,99 yrs lease commencing from 1997,25,Outside Central Region,01 to 05
THE VALES,"2,380,000","1,410.08","1,688",Jan-26,ANCHORVALE CRESCENT,Resale,Strata,131,"18,168",-,Executive Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,06 to 10
OTTO PLACE,"1,491,000",871.88,"1,710",Jan-26,PLANTATION CLOSE,New Sale,Strata,81,"18,407",-,Executive Condominium,1,99 yrs lease commencing from 2024,24,Outside Central Region,06 to 10
ESPARINA RESIDENCES,"1,888,000","1,065.64","1,772",Jan-26,COMPASSVALE BOW,Resale,Strata,99,"19,071",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,06 to 10
THE VISIONAIRE,"1,755,000","1,140.98","1,538",Jan-26,CANBERRA DRIVE,Resale,Strata,106,"16,557",-,Executive Condominium,1,99 yrs lease commencing from 2015,27,Outside Central Region,01 to 05
OTTO PLACE,"1,590,000",871.88,"1,824",Jan-26,PLANTATION CLOSE,New Sale,Strata,81,"19,630",-,Executive Condominium,1,99 yrs lease commencing from 2024,24,Outside Central Region,06 to 10
OTTO PLACE,"1,541,000",904.18,"1,704",Jan-26,PLANTATION CLOSE,New Sale,Strata,84,"18,345",-,Executive Condominium,1,99 yrs lease commencing from 2024,24,Outside Central Region,01 to 05
RIVERCOVE RESIDENCES,"1,440,000",904.18,"1,593",Jan-26,ANCHORVALE LANE,Resale,Strata,84,"17,143",-,Executive Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,06 to 10
