Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
LE QUEST,"1,135,000",699.66,"1,622",Aug-23,BUKIT BATOK STREET 41,Resale,Strata,65,"17,462",-,Apartment,1,99 yrs lease commencing from 2016,23,Outside Central Region,06 to 10
REGENT RESIDENCES,"1,050,000",688.9,"1,524",Aug-23,SERANGOON ROAD,Resale,Strata,64,"16,406",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
AFFINITY AT SERANGOON,"2,045,000","1,076.4","1,900",Aug-23,SERANGOON NORTH AVENUE 1,Sub Sale,Strata,100,"20,450",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
THE PALETTE,"1,100,000",742.72,"1,481",Aug-23,PASIR RIS GROVE,Resale,Strata,69,"15,942",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,01 to 05
SANDY PALM,"1,170,000","1,248.62",937,Aug-23,JALAN LOYANG BESAR,Resale,Strata,116,"10,086",-,Condominium,1,99 yrs lease commencing from 1996,17,Outside Central Region,01 to 05
SENGKANG GRAND RESIDENCES,"1,000,000",505.91,"1,977",Aug-23,COMPASSVALE BOW,Sub Sale,Strata,47,"21,277",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
REGENT PARK,"1,200,000",904.18,"1,327",Aug-23,JALAN LEMPENG,Resale,Strata,84,"14,286",-,Condominium,1,99 yrs lease commencing from 1993,05,Outside Central Region,01 to 05
RIVERFRONT RESIDENCES,"1,700,000","1,065.64","1,595",Aug-23,HOUGANG AVENUE 7,Sub Sale,Strata,99,"17,172",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
TREASURE AT TAMPINES,"1,408,000",914.94,"1,539",Aug-23,TAMPINES LANE,Sub Sale,Strata,85,"16,565",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
THE TAPESTRY,"765,000",441.32,"1,733",Aug-23,TAMPINES STREET 86,Resale,Strata,41,"18,659",-,Condominium,1,99 yrs lease commencing from 2017,18,Outside Central Region,06 to 10
THE POIZ RESIDENCES,"1,190,000",581.26,"2,047",Aug-23,MEYAPPA CHETTIAR ROAD,Resale,Strata,54,"22,037",-,Apartment,1,99 yrs lease commencing from 2014,13,Rest of Central Region,16 to 20
VERDURE,"1,970,000","1,065.64","1,849",Aug-23,HOLLAND ROAD,Resale,Strata,99,"19,899",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
RIS GRANDEUR,"1,380,000","1,065.64","1,295",Aug-23,ELIAS ROAD,Resale,Strata,99,"13,939",-,Condominium,1,Freehold,18,Outside Central Region,06 to 10
CASA MERAH,"2,020,000","1,550.02","1,303",Aug-23,TANAH MERAH KECHIL AVENUE,Resale,Strata,144,"14,028",-,Apartment,1,99 yrs lease commencing from 2006,16,Outside Central Region,01 to 05
PARC ROSEWOOD,"760,000",581.26,"1,308",Aug-23,ROSEWOOD DRIVE,Resale,Strata,54,"14,074",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05
LEITH GROVE,"1,240,000","1,227.1","1,011",Aug-23,LEITH PARK,Resale,Strata,114,"10,877",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
EDELWEISS PARK CONDOMINIUM,"1,165,000","1,033.34","1,127",Aug-23,FLORA ROAD,Resale,Strata,96,"12,135",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
TREASURE AT TAMPINES,"1,750,000","1,087.16","1,610",Aug-23,TAMPINES LANE,Sub Sale,Strata,101,"17,327",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
THE NAVIAN,"1,175,000",656.6,"1,790",Aug-23,JALAN EUNOS,Resale,Strata,61,"19,262",-,Apartment,1,Freehold,14,Outside Central Region,01 to 05
LA FIESTA,"1,650,000","1,001.05","1,648",Aug-23,SENGKANG SQUARE,Resale,Strata,93,"17,742",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,11 to 15
