Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
NORWOOD GRAND,"1,287,000",624.31,"2,061",Oct-24,CHAMPIONS WAY,New Sale,Strata,58,"22,190",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,01 to 05
NORWOOD GRAND,"1,029,000",495.14,"2,078",Oct-24,CHAMPIONS WAY,New Sale,Strata,46,"22,370",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,01 to 05
NORWOOD GRAND,"1,356,000",667.37,"2,032",Oct-24,CHAMPIONS WAY,New Sale,Strata,62,"21,871",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,01 to 05
NORWOOD GRAND,"2,646,000","1,334.74","1,982",Oct-24,CHAMPIONS WAY,New Sale,Strata,124,"21,339",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,01 to 05
NORWOOD GRAND,"1,865,000",904.18,"2,063",Oct-24,CHAMPIONS WAY,New Sale,Strata,84,"22,202",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,01 to 05
NORWOOD GRAND,"1,507,000",710.42,"2,121",Oct-24,CHAMPIONS WAY,New Sale,Strata,66,"22,833",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,01 to 05
NORWOOD GRAND,"2,667,000","1,313.21","2,031",Oct-24,CHAMPIONS WAY,New Sale,Strata,122,"21,861",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,01 to 05
NORWOOD GRAND,"2,322,000","1,173.28","1,979",Oct-24,CHAMPIONS WAY,New Sale,Strata,109,"21,303",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,01 to 05
NORWOOD GRAND,"1,295,000",624.31,"2,074",Oct-24,CHAMPIONS WAY,New Sale,Strata,58,"22,328",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,01 to 05
NORWOOD GRAND,"1,364,000",667.37,"2,044",Oct-24,CHAMPIONS WAY,New Sale,Strata,62,"22,000",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,01 to 05
NORWOOD GRAND,"1,875,000",904.18,"2,074",Oct-24,CHAMPIONS WAY,New Sale,Strata,84,"22,321",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,01 to 05
NORWOOD GRAND,"1,515,000",710.42,"2,133",Oct-24,CHAMPIONS WAY,New Sale,Strata,66,"22,955",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,01 to 05
NORWOOD GRAND,"1,043,000",495.14,"2,106",Oct-24,CHAMPIONS WAY,New Sale,Strata,46,"22,674",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,01 to 05
NORWOOD GRAND,"1,372,000",667.37,"2,056",Oct-24,CHAMPIONS WAY,New Sale,Strata,62,"22,129",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,01 to 05
NORWOOD GRAND,"1,885,000",904.18,"2,085",Oct-24,CHAMPIONS WAY,New Sale,Strata,84,"22,440",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,01 to 05
NORWOOD GRAND,"1,523,000",710.42,"2,144",Oct-24,CHAMPIONS WAY,New Sale,Strata,66,"23,076",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,06 to 10
NORWOOD GRAND,"2,693,000","1,313.21","2,051",Oct-24,CHAMPIONS WAY,New Sale,Strata,122,"22,074",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,06 to 10
NORWOOD GRAND,"2,348,000","1,173.28","2,001",Oct-24,CHAMPIONS WAY,New Sale,Strata,109,"21,541",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,06 to 10
NORWOOD GRAND,"1,311,000",624.31,"2,100",Oct-24,CHAMPIONS WAY,New Sale,Strata,58,"22,603",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,06 to 10
NORWOOD GRAND,"1,050,000",495.14,"2,121",Oct-24,CHAMPIONS WAY,New Sale,Strata,46,"22,826",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,06 to 10
NORWOOD GRAND,"1,380,000",667.37,"2,068",Oct-24,CHAMPIONS WAY,New Sale,Strata,62,"22,258",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,06 to 10
NORWOOD GRAND,"1,531,000",710.42,"2,155",Oct-24,CHAMPIONS WAY,New Sale,Strata,66,"23,197",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,06 to 10
NORWOOD GRAND,"2,706,000","1,313.21","2,061",Oct-24,CHAMPIONS WAY,New Sale,Strata,122,"22,180",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,06 to 10
NORWOOD GRAND,"2,361,000","1,173.28","2,012",Oct-24,CHAMPIONS WAY,New Sale,Strata,109,"21,661",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,06 to 10
NORWOOD GRAND,"1,388,000",667.37,"2,080",Oct-24,CHAMPIONS WAY,New Sale,Strata,62,"22,387",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,06 to 10
NORWOOD GRAND,"1,905,000",904.18,"2,107",Oct-24,CHAMPIONS WAY,New Sale,Strata,84,"22,679",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,06 to 10
NORWOOD GRAND,"1,539,000",710.42,"2,166",Oct-24,CHAMPIONS WAY,New Sale,Strata,66,"23,318",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,06 to 10
NORWOOD GRAND,"2,719,000","1,313.21","2,071",Oct-24,CHAMPIONS WAY,New Sale,Strata,122,"22,287",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,06 to 10
NORWOOD GRAND,"2,374,000","1,173.28","2,023",Oct-24,CHAMPIONS WAY,New Sale,Strata,109,"21,780",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,06 to 10
NORWOOD GRAND,"1,327,000",624.31,"2,126",Oct-24,CHAMPIONS WAY,New Sale,Strata,58,"22,879",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,06 to 10
NORWOOD GRAND,"1,064,000",495.14,"2,149",Oct-24,CHAMPIONS WAY,New Sale,Strata,46,"23,130",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,06 to 10
NORWOOD GRAND,"1,396,000",667.37,"2,092",Oct-24,CHAMPIONS WAY,New Sale,Strata,62,"22,516",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,06 to 10
NORWOOD GRAND,"1,915,000",904.18,"2,118",Oct-24,CHAMPIONS WAY,New Sale,Strata,84,"22,798",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,06 to 10
NORWOOD GRAND,"2,387,000","1,173.28","2,034",Oct-24,CHAMPIONS WAY,New Sale,Strata,109,"21,899",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,06 to 10
NORWOOD GRAND,"1,335,000",624.31,"2,138",Oct-24,CHAMPIONS WAY,New Sale,Strata,58,"23,017",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,06 to 10
NORWOOD GRAND,"1,071,000",495.14,"2,163",Oct-24,CHAMPIONS WAY,New Sale,Strata,46,"23,283",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,06 to 10
NORWOOD GRAND,"1,404,000",667.37,"2,104",Oct-24,CHAMPIONS WAY,New Sale,Strata,62,"22,645",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,06 to 10
NORWOOD GRAND,"1,555,000",710.42,"2,189",Oct-24,CHAMPIONS WAY,New Sale,Strata,66,"23,561",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,06 to 10
NORWOOD GRAND,"2,400,000","1,173.28","2,046",Oct-24,CHAMPIONS WAY,New Sale,Strata,109,"22,018",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,06 to 10
NORWOOD GRAND,"1,343,000",624.31,"2,151",Oct-24,CHAMPIONS WAY,New Sale,Strata,58,"23,155",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,06 to 10
