Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
H2O RESIDENCES,"930,000",882.65,"1,054",Jan-22,FERNVALE LINK,Resale,Strata,82,"11,341",-,Condominium,1,99 yrs lease commencing from 2010,28,Outside Central Region,21 to 25
SOUTHAVEN II,"2,305,000","1,840.64","1,252",Jan-22,HINDHEDE WALK,Resale,Strata,171,"13,480",-,Condominium,1,999 yrs lease commencing from 1877,21,Outside Central Region,06 to 10
NORMANTON PARK,"1,725,000",968.76,"1,781",Jan-22,NORMANTON PARK,New Sale,Strata,90,"19,167",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,06 to 10
NORMANTON PARK,"997,880",527.44,"1,892",Jan-22,NORMANTON PARK,New Sale,Strata,49,"20,365",-,Apartment,1,99 yrs lease commencing from 2019,05,Rest of Central Region,01 to 05
PARC CLEMATIS,"2,668,000","1,711.48","1,559",Jan-22,JALAN LEMPENG,New Sale,Strata,159,"16,780",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,06 to 10
A TREASURE TROVE,"1,300,000","1,044.11","1,245",Jan-22,PUNGGOL WALK,Resale,Strata,97,"13,402",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
COASTLINE RESIDENCES,"2,157,000",742.72,"2,904",Jan-22,AMBER ROAD,New Sale,Strata,69,"31,261",-,Apartment,1,Freehold,15,Rest of Central Region,16 to 20
LIVIA,"1,600,000","1,539.25","1,039",Jan-22,PASIR RIS GROVE,Resale,Strata,143,"11,189",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,06 to 10
SCOTTS SQUARE,"2,224,900",635.08,"3,503",Jan-22,SCOTTS ROAD,Resale,Strata,59,"37,710",-,Apartment,1,Freehold,09,Core Central Region,21 to 25
AURA 83,"1,980,000","1,593.07","1,243",Jan-22,DUKU ROAD,Resale,Strata,148,"13,378",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
PARC CLEMATIS,"1,616,000",968.76,"1,668",Jan-22,JALAN LEMPENG,New Sale,Strata,90,"17,956",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,06 to 10
LAKEVILLE,"1,980,000","1,302.44","1,520",Jan-22,JURONG LAKE LINK,Resale,Strata,121,"16,364",-,Condominium,1,99 yrs lease commencing from 2013,22,Outside Central Region,11 to 15
CITYLIGHTS,"1,160,000",721.19,"1,608",Jan-22,JELLICOE ROAD,Resale,Strata,67,"17,313",-,Condominium,1,99 yrs lease commencing from 2004,08,Rest of Central Region,21 to 25
