Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
AMBER SKYE,"2,220,000","1,216.33","1,825",Apr-21,AMBER ROAD,Resale,Strata,113,"19,646",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10
CLAVON,"1,998,000","1,280.92","1,560",Apr-21,CLEMENTI AVENUE 1,New Sale,Strata,119,"16,790",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,11 to 15
THE AVENIR,"5,072,000","1,528.49","3,318",Apr-21,RIVER VALLEY CLOSE,New Sale,Strata,142,"35,718",-,Condominium,1,Freehold,09,Core Central Region,31 to 35
THE FLORENCE RESIDENCES,"1,136,000",667.37,"1,702",Apr-21,HOUGANG AVENUE 2,New Sale,Strata,62,"18,323",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
THE FLORENCE RESIDENCES,"857,000",484.38,"1,769",Apr-21,HOUGANG AVENUE 2,New Sale,Strata,45,"19,044",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,16 to 20
THE FLORENCE RESIDENCES,"1,506,112",914.94,"1,646",Apr-21,HOUGANG AVENUE 2,New Sale,Strata,85,"17,719",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
PARC CLEMATIS,"1,438,000",861.12,"1,670",Apr-21,JALAN LEMPENG,New Sale,Strata,80,"17,975",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,06 to 10
SKY HABITAT,"1,980,000","1,216.33","1,628",Apr-21,BISHAN STREET 15,Resale,Strata,113,"17,522",-,Condominium,1,99 yrs lease commencing from 2011,20,Rest of Central Region,31 to 35
ECHELON,"1,420,000",731.95,"1,940",Apr-21,ALEXANDRA VIEW,Resale,Strata,68,"20,882",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,31 to 35
THE FLORENCE RESIDENCES,"1,013,000",667.37,"1,518",Apr-21,HOUGANG AVENUE 2,New Sale,Strata,62,"16,339",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,16 to 20
PARC KOMO,"1,527,000","1,001.05","1,525",Apr-21,UPPER CHANGI ROAD NORTH,New Sale,Strata,93,"16,419",-,Apartment,1,Freehold,17,Outside Central Region,01 to 05
KINGSFORD . HILLVIEW PEAK,"1,015,000",785.77,"1,292",Apr-21,HILLVIEW RISE,Resale,Strata,73,"13,904",-,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,01 to 05
ROSEWOOD,"820,000","1,173.28",699,Apr-21,ROSEWOOD DRIVE,Resale,Strata,109,"7,523",-,Condominium,1,99 yrs lease commencing from 2000,25,Outside Central Region,01 to 05
RIVERBANK @ FERNVALE,"1,500,000","1,334.74","1,124",Apr-21,FERNVALE CLOSE,Resale,Strata,124,"12,097",-,Condominium,1,99 yrs lease commencing from 2013,28,Outside Central Region,01 to 05
THE SAIL @ MARINA BAY,"2,160,000","1,184.04","1,824",Apr-21,MARINA BOULEVARD,Resale,Strata,110,"19,636",-,Apartment,1,99 yrs lease commencing from 2002,01,Core Central Region,16 to 20
THE SANTORINI,"1,380,000","1,151.75","1,198",Apr-21,TAMPINES STREET 86,Resale,Strata,107,"12,897",-,Condominium,1,99 yrs lease commencing from 2013,18,Outside Central Region,11 to 15
EMERALD GARDEN,"1,950,000",947.23,"2,059",Apr-21,CLUB STREET,Resale,Strata,88,"22,159",-,Condominium,1,999 yrs lease commencing from 1827,01,Rest of Central Region,06 to 10
YONG AN PARK,"2,000,000","1,022.58","1,956",Apr-21,RIVER VALLEY ROAD,Resale,Strata,95,"21,053",-,Condominium,1,Freehold,09,Core Central Region,06 to 10
VISIONCREST,"1,953,160","1,011.82","1,930",Apr-21,OXLEY RISE,Resale,Strata,94,"20,778",-,Apartment,1,Freehold,09,Core Central Region,01 to 05
PARC OASIS,"966,000","1,076.4",897,Apr-21,JURONG EAST AVENUE 1,Resale,Strata,100,"9,660",-,Condominium,1,99 yrs lease commencing from 1991,22,Outside Central Region,06 to 10
THE SCOTTS TOWER,"2,800,000","1,227.1","2,282",Apr-21,SCOTTS ROAD,Resale,Strata,114,"24,561",-,Condominium,1,103 yrs lease commencing from 2010,09,Core Central Region,26 to 30
VACANZA @ EAST,"620,000",484.38,"1,280",Apr-21,LENGKONG TUJOH,Resale,Strata,45,"13,778",-,Condominium,1,Freehold,14,Outside Central Region,01 to 05
ORCHID APARTMENTS,"1,960,000","1,356.26","1,445",Apr-21,ENG NEO AVENUE,Resale,Strata,126,"15,556",-,Apartment,1,Freehold,11,Core Central Region,01 to 05
THE SEAFRONT ON MEYER,"5,000,000","2,292.73","2,181",Apr-21,MEYER ROAD,Resale,Strata,213,"23,474",-,Condominium,1,Freehold,15,Rest of Central Region,21 to 25
THE LINE @ TANJONG RHU,"2,330,000","1,065.64","2,186",Apr-21,TANJONG RHU ROAD,Resale,Strata,99,"23,535",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
STARVILLE,"1,310,000","1,237.86","1,058",Apr-21,LENGKONG TIGA,Resale,Strata,115,"11,391",-,Condominium,1,Freehold,14,Outside Central Region,06 to 10
NV RESIDENCES,"840,000",936.47,897,Apr-21,PASIR RIS GROVE,Resale,Strata,87,"9,655",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,01 to 05
THE WATERSIDE,"3,811,000","2,142.04","1,779",Apr-21,TANJONG RHU ROAD,Resale,Strata,199,"19,151",-,Condominium,1,Freehold,15,Rest of Central Region,21 to 25
COSTA RHU,"2,700,000","2,055.92","1,313",Apr-21,RHU CROSS,Resale,Strata,191,"14,136",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,01 to 05
